ITTER107,Territorio,TIPO_DATO15,Tipo di indicatore demografico,SEXISTAT1,Sesso,ETA1,Età,STATCIV2,Stato civile,TIME,Seleziona periodo,Value
75056,Ortelle,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1167
74012,Ostuni,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,15930
75057,Otranto,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,3009
73020,Palagianello,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,3927
73021,Palagiano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,7995
75058,Palmariggi,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,719
72033,Palo del Colle,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,10594
74010,Mesagne,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,13508
75046,Miggiano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1810
75047,Minervino di Lecce,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1890
110006,Minervino Murge,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,4349
72027,Modugno,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,19217
73017,Montemesola,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1889
73018,Monteparano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1195
71034,Motta Montecorvino,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,357
73019,Mottola,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,7981
75051,Muro Leccese,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2528
75052,Nardò,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,16097
75053,Neviano,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2669
71037,Panni,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,387
75059,Parabita,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,4595
75060,Patù,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,865
71038,Peschici,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,2176
71039,Pietramontecorvino,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1339
75061,Poggiardo,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,3095
71040,Poggio Imperiale,JAN,popolazione al 1º gennaio,2,femmine,TOTAL,totale,99,totale,2020,2020,1300
